feature,gain,family
mean28,0.6376544657295082,history
mean56,0.21655219210855972,history
mean7,0.08635975337075692,history
disc,0.00923971636669389,promotion
std28,0.00864206357652409,history
rain_fc,0.007643054322625366,weather
price_log,0.003437365111189433,item/store
event_id,0.002594138756197414,events
sdw_mean4,0.002358819652183204,history
pack_size,0.0023397258135212204,item/store
cat_idx,0.002311002213301632,item/store
age,0.0022733480593885498,history
days_to_event,0.002196484411617397,events
search_trend,0.0021507468411733946,search
dow,0.0021288651730883485,calendar
woy,0.0018081790712276718,calendar
search_ratio,0.0015798662801033128,search
in_festival,0.0010429200656071338,events
zero28,0.0010153123120834032,history
store_idx,0.0009962646140423141,item/store
search_o,0.0009756821914735039,search
temp_fc,0.0008122124852697117,weather
post_promo,0.0008013071877466919,promotion
last_obs,0.000800395484236909,history
search_mean7,0.0006029104968188698,search
dom,0.0005061820862296666,calendar
month,0.0004589895597696294,calendar
h,0.00028626843174968825,calendar
hum_fc,0.0002746697702597525,weather
region_idx,7.238051999734254e-05,item/store
is_holiday,5.5690504285282854e-05,events
days_since_sale,2.9027432770352874e-05,history
wx_missing,0.0,weather
